Couse_Section_SSRID,Registrar API Response
54beab76e4b0a50be420f6c9,"{""createdAt"":""2015-01-20T19:24:38.694Z"",""updatedAt"":""2015-12-03T15:51:28.017Z"",""id"":""54beab76e4b0a50be420f6c9"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/54beab76e4b0a50be420f6c9/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""54beab76e4b0277b77ac00d0"",""sectionCode"":""History 160 C-1"",""sectionTitle"":""Gender, Race, and Class in Early America"",""sectionDescription"":""This course will challenge you to grapple with the United States’ past as it was formed and shaped by groups and individuals. This course only lasts five weeks so it will move at a rapid pace which will require students to be vigilant of the syllabus in order to complete assignments and readings on time."",""sectionStatus"":""active"",""productCodes"":[""457ed5cf-fbe0-4503-8ece-c95c22f5461f""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/b5be36a2-54de-498a-8a4e-85db5a92a342/1/file/pearson_brands_v10forV2/OPS/public/images/catalog.jpg"",""startDate"":""2015-06-01T07:00:00.000Z"",""endDate"":""2015-07-10T07:00:00.000Z"",""openenrollmentbegins"":""2015-01-20T19:24:38.488Z"",""openenrollmentends"":""2015-01-20T19:24:38.488Z"",""sectionKeys"":[{""key"":""qgli90"",""active"":true,""createdDate"":""2015-01-20T19:24:38.694Z""}]}"
53e53bede4b0ad5ed0dac080,"{""createdAt"":""2014-08-08T21:06:53.951Z"",""updatedAt"":""2015-12-03T15:47:33.584Z"",""id"":""53e53bede4b0ad5ed0dac080"",""metadata"":{""copyable"":false,""launchUrl"":""https://revel.pearson.com/#/courses/53e53bede4b0ad5ed0dac080/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""53e53bede4b0dcd0fdaeb1a9"",""sectionCode"":""HIST 200Z (M3A)"",""sectionTitle"":""Essential Issues in American History"",""sectionDescription"":""This course examines the United States’ history from its colonial origins to the present.  Surveying the broad landscape of America’s past, it explores the people and institutions that have helped to shape political, intellectual, social, and economic change over time.  Ultimately, this course will help cadets arrive at a clearer and more meaningful understanding of our nation’s past, cadets’ relationship to that past, and one’s responsibility as a citizen-airman in a free society."",""productCodes"":[""9e90ac88-1d58-49be-ba24-68abc506497f""],""courseAvatar"":""https://content.openclass.com/eps/sanvan/api/item/e0c3ec56-3a6e-4477-a092-352d197e6ce9/400/file/pearson_brands_v7/OPS/images/catalog.jpg"",""startDate"":""2014-08-13T06:00:00.000Z"",""endDate"":""2014-12-19T07:00:00.000Z"",""openenrollmentbegins"":""2014-08-08T21:06:53.273Z"",""openenrollmentends"":""2014-08-08T21:06:53.273Z"",""sectionKeys"":[{""key"":""qgjjby"",""active"":true,""createdDate"":""2014-08-08T21:06:54.462Z""}]}"
53d0065ce4b0797cbb322f9e,"{""createdAt"":""2014-07-23T19:00:44.069Z"",""updatedAt"":""2014-07-25T19:53:34.586Z"",""id"":""53d0065ce4b0797cbb322f9e"",""courseId"":""53d0065be4b0b0e2bbd16b68"",""sectionCode"":""AD-Test-1"",""sectionTitle"":""AD-Test-1"",""sectionDescription"":""AD-Test-1"",""productCodes"":[""changing_planet_1""],""startDate"":""2014-07-23T06:00:00.000Z"",""endDate"":""2014-07-25T06:00:00.000Z"",""openenrollmentbegins"":""2014-07-23T18:57:56.523Z"",""openenrollmentends"":""2014-07-23T18:57:56.523Z"",""sectionKeys"":[{""key"":""pbhc8i"",""active"":true,""createdDate"":""2014-07-23T19:00:44.575Z""}]}"
555783a1e4b06ad694ba82d4,"{""createdAt"":""2015-05-16T17:51:29.028Z"",""updatedAt"":""2015-12-03T16:02:21.088Z"",""id"":""555783a1e4b06ad694ba82d4"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/555783a1e4b06ad694ba82d4/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""555783a0e4b06ad694ba82d3"",""sectionTitle"":""SOCI 203 Principles of Sociology"",""sectionDescription"":""This course provides an investigation of human behavior within its social context. Students will be exposed to the theoretical and research foundations of sociology as they apply to the study of various social institutions (e.g., family and work) and social processes (e.g., the reproduction of social life). Important questions to consider include: How is society organized? How do social forces influence individuals’ lives and opportunities? How do sociologists investigate the social world?"",""sectionStatus"":""active"",""productCodes"":[""bd35add8-d8e6-49f6-9ace-9ea5b029abdf""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/e6c6e6c7-6f94-46dc-93e1-1dc61f8a4df2/1/file/manza-sp-2e_2-1_v2/OPS/public/images/catalog.jpg"",""startDate"":""2015-05-18T04:00:00.000Z"",""endDate"":""2015-06-25T04:00:00.000Z"",""openenrollmentbegins"":""2015-05-16T17:51:28.668Z"",""openenrollmentends"":""2015-05-16T17:51:28.668Z"",""sectionKeys"":[{""key"":""8favjx"",""active"":true,""createdDate"":""2015-05-16T17:51:29.028Z""}]}"
557dc4b1e4b00fe6c2cf781f,"{""createdAt"":""2015-06-14T18:15:13.352Z"",""updatedAt"":""2015-12-03T16:03:33.566Z"",""id"":""557dc4b1e4b00fe6c2cf781f"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/557dc4b1e4b00fe6c2cf781f/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""557dc4b1e4b00fe6c2cf781e"",""sectionCode"":""PSY223"",""sectionTitle"":""Child Psychology"",""sectionDescription"":""Welcome – It’s great to have you in class. This course covers some of the most intriguing aspects of psychology. It’s about children and their development and how they live and think in the world. I’m passionate about this field – I hope that by the end of the course you will love it as I do. \n\nOur studies will include topics in developmental theory, practical aspects of children’s lives (and yours), and research methodology. This should be a great semester."",""productCodes"":[""847121f2-1d2e-471a-984f-7e9eeb985313""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/1e7c41b0-5879-4953-bfdc-aad4fdcedd43/1/file/pearson-kail-v1/OPS/public/images/catalog.jpg"",""startDate"":""2015-08-21T04:00:00.000Z"",""endDate"":""2015-12-18T05:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":\""3\"",\""startTime\"":\""1970-01-01T17:30:00.000Z\"",\""endTime\"":\""1970-01-01T20:10:00.000Z\"",\""overlap\"":false}""],""openenrollmentbegins"":""2015-06-14T18:15:12.773Z"",""openenrollmentends"":""2015-06-14T18:15:12.773Z"",""sectionKeys"":[{""key"":""v18cq6"",""active"":true,""createdDate"":""2015-06-14T18:15:13.352Z""}]}"
5589dc77e4b00fe6c2cfa5e8,"{""createdAt"":""2015-06-23T22:23:51.003Z"",""updatedAt"":""2015-12-03T16:03:57.962Z"",""id"":""5589dc77e4b00fe6c2cfa5e8"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/5589dc77e4b00fe6c2cfa5e8/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""5589dc76e4b00fe6c2cfa5e7"",""sectionCode"":""PSYC 101"",""sectionTitle"":""Introduction to Psychology"",""sectionDescription"":""This class is a broad perspective of psychology, ranging from how the science of psychology has developed to the many different careers that involve psychology. Many of the topics we will cover are also taught as full courses (e.g., Social, Abnormal, Developmental). The wonderful thing about this class is that it pushes us to see the way we humans think and behave in many different ways, and realize that there is really no one “perfect” perspective on life—we are amazingly complicated."",""productCodes"":[""22b7fe4d-e9a8-41bf-9b32-efc6f4545e5e""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/c9da11d5-02f2-4571-94d3-2c6c656a47b4/1/file/pearson_ciccarelli_v15-revel-2/OPS/public/images/catalog.jpg"",""startDate"":""2015-06-23T07:00:00.000Z"",""endDate"":""2015-07-30T07:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":\""3\"",\""startTime\"":\""1970-01-01T18:30:00.000Z\"",\""endTime\"":\""1970-01-01T20:30:00.000Z\"",\""overlap\"":false}"",""{\""active\"":true,\""dayValue\"":\""2\"",\""startTime\"":\""1970-01-01T18:30:00.000Z\"",\""endTime\"":\""1970-01-01T20:30:00.000Z\"",\""overlap\"":false}"",""{\""active\"":true,\""dayValue\"":\""4\"",\""startTime\"":\""1970-01-01T18:30:00.000Z\"",\""endTime\"":\""1970-01-01T20:30:00.000Z\"",\""overlap\"":false}"",""{\""active\"":true,\""dayValue\"":1,\""startTime\"":\""1970-01-01T18:30:00.000Z\"",\""endTime\"":\""1970-01-01T20:30:00.000Z\"",\""overlap\"":false}""],""openenrollmentbegins"":""2015-06-23T22:23:50.118Z"",""openenrollmentends"":""2015-06-23T22:23:50.118Z"",""sectionKeys"":[{""key"":""zyx5bs"",""active"":true,""createdDate"":""2015-06-23T22:23:51.003Z""}]}"
5423209ee4b08fdd17df3a48,"{""createdAt"":""2014-09-24T19:50:54.014Z"",""updatedAt"":""2015-12-03T15:48:25.236Z"",""id"":""5423209ee4b08fdd17df3a48"",""metadata"":{""copyable"":false,""launchUrl"":""https://revel.pearson.com/#/courses/5423209ee4b08fdd17df3a48/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""5423209de4b0c24e348f0233"",""sectionCode"":""Bonds : 3rd Edition"",""sectionTitle"":""Listen to This"",""sectionDescription"":""Students: You will be using a REVEL eTextbook as your course materials for your course this semester. REVEL cost $65. Please buy your access prior to coming to the first class. See you soon! – Professor REVELatious"",""sectionStatus"":""deleted"",""productCodes"":[""21e39f25-1e50-4534-b9d0-c2d36a42e610""],""courseAvatar"":""https://content.openclass.com/eps/sanvan/api/item/74661953-3043-4ad6-b9a0-345273eb11f6/700/file/pearson_bonds_v10/OPS/images/catalog.jpg"",""startDate"":""2014-09-24T12:00:00.000Z"",""endDate"":""2015-12-31T15:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""startTime\"":\""2014-09-24T12:00:49.755Z\"",\""endTime\"":\""2014-09-24T14:00:49.755Z\"",\""day\"":\""monday\"",\""dayValue\"":1}"",""{\""active\"":true,\""startTime\"":\""2014-09-24T12:00:49.755Z\"",\""endTime\"":\""2014-09-24T14:00:49.755Z\"",\""day\"":\""wednesday\"",\""dayValue\"":3}"",""{\""active\"":true,\""startTime\"":\""2014-09-24T12:00:49.755Z\"",\""endTime\"":\""2014-09-24T14:00:49.755Z\"",\""day\"":\""tuesday\"",\""dayValue\"":2}""],""openenrollmentbegins"":""2014-09-24T19:50:53.324Z"",""openenrollmentends"":""2014-09-24T19:50:53.324Z"",""sectionKeys"":[{""key"":""aox3kb"",""active"":true,""createdDate"":""2014-09-24T19:50:54.482Z""}]}"
5495d306e4b0a9a26c034b5e,"{""createdAt"":""2014-12-20T19:50:30.308Z"",""updatedAt"":""2015-12-03T15:50:20.398Z"",""id"":""5495d306e4b0a9a26c034b5e"",""metadata"":{""copyable"":false,""launchUrl"":""https://revel.pearson.com/#/courses/5495d306e4b0a9a26c034b5e/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""5495d306e4b0f74ecb09c562"",""sectionTitle"":""Upskills Batch 6"",""sectionDescription"":""Last Batch for Winter Peak ?"",""productCodes"":[""22b7fe4d-e9a8-41bf-9b32-efc6f4545e5e""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/c9da11d5-02f2-4571-94d3-2c6c656a47b4/1/file/pearson_ciccarelli_v15-revel-2/OPS/public/images/catalog.jpg"",""startDate"":""2014-12-20T16:00:00.000Z"",""endDate"":""2015-06-29T16:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":1,\""startTime\"":\""2014-12-21T04:00:38.171Z\"",\""endTime\"":\""2014-12-21T07:00:38.171Z\""}"",""{\""active\"":true,\""dayValue\"":5,\""startTime\"":\""2014-12-21T04:00:38.171Z\"",\""endTime\"":\""2014-12-21T07:00:38.171Z\""}"",""{\""active\"":true,\""dayValue\"":3,\""startTime\"":\""2014-12-21T04:00:38.171Z\"",\""endTime\"":\""2014-12-21T07:00:38.171Z\""}""],""openenrollmentbegins"":""2014-12-20T19:50:29.947Z"",""openenrollmentends"":""2014-12-20T19:50:29.947Z"",""sectionKeys"":[{""key"":""nogzum"",""active"":true,""createdDate"":""2014-12-20T19:50:30.308Z""}]}"
54aeeb7fe4b0a9a26c03a618,"{""createdAt"":""2015-01-08T20:41:35.667Z"",""updatedAt"":""2016-01-08T04:17:54.165Z"",""id"":""54aeeb7fe4b0a9a26c03a618"",""metadata"":{""copyable"":true,""launchUrl"":""https://revel.pearson.com/#/courses/54aeeb7fe4b0a9a26c03a618/view"",""externalPairing"":false,""brand"":{""name"":""REVEL"",""url"":""http://www.pearsonhighered.com/revel/""}},""courseId"":""54aeeb7ee4b015c91e1b1a56"",""sectionCode"":""ARTH 101"",""sectionTitle"":""Survey of Art and Culture"",""sectionDescription"":""Welcome to Survey of Art History 101 (ARTH101). This semester we’ll cover a view of art history from Prehistory to Pre-Renaissance, as well as explore issues like why humans make art and what art is (or isn’t)."",""sectionStatus"":""deleted"",""productCodes"":[""960ccf13-6dde-4920-a6f4-e2992a064f21""],""courseAvatar"":""https://revel.pearson.com/eps/sanvan/api/item/d0ea511f-ea89-430f-b5d9-a0280ee96422/1/file/pearson-stokstad-vol1_v8/OPS/public/images/catalog.jpg"",""startDate"":""2015-01-16T05:00:00.000Z"",""endDate"":""2015-03-06T05:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""dayValue\"":\""5\"",\""startTime\"":\""2015-01-08T22:30:56.939Z\"",\""endTime\"":\""2015-01-09T02:30:56.939Z\"",\""overlap\"":false}""],""openenrollmentbegins"":""2015-01-08T20:41:33.932Z"",""openenrollmentends"":""2015-01-08T20:41:33.932Z"",""sectionKeys"":[{""key"":""ckhckt"",""active"":true,""createdDate"":""2015-01-08T20:41:35.667Z""}]}"
53e6f2a5e4b0ad5ed0dac135,"{""createdAt"":""2014-08-10T04:18:45.402Z"",""updatedAt"":""2014-08-10T04:18:45.940Z"",""id"":""53e6f2a5e4b0ad5ed0dac135"",""courseId"":""53e6f2a5e4b064547b5ae231"",""sectionCode"":""PPR00001"",""sectionTitle"":""Perf-Prod-Revel-Course-PPR00001"",""sectionDescription"":""Perf-Prod-Revel-Course-PPR00001"",""productCodes"":[""d67d0940-3402-4bf9-88ab-4bf244853d0e""],""startDate"":""2014-07-01T04:00:00.000Z"",""endDate"":""2014-08-31T04:00:00.000Z"",""sectionSchedule"":[""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""monday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""friday\""}"",""{\""active\"":true,\""startTime\"":1405040425593,\""endTime\"":1405040425593,\""day\"":\""wednesday\""}""],""openenrollmentbegins"":""2014-07-01T04:00:00.000Z"",""openenrollmentends"":""2014-07-31T04:00:00.000Z"",""sectionKeys"":[{""key"":""uxlmx1"",""active"":true,""createdDate"":""2014-08-10T04:18:45.940Z""}]}"
